,asin,review_2023
0,B000P22TIY," I have just recently decided to get into the habit of dressing  better and fragrances.  While I'm not the marketed age range for this fragrance, I talked to many friends and have seen many Youtubers recommend this . I decided to give it a try.  Let me tell you I love it. Its a great work or Spring time cologne,The reviewers were correct.  I love the fresh scent and the longevity last at least 6 to 8 hours. Its not too weak but not too strong either. The price for this stuff is excellent as well. This is a great daytime scent for work .  Everyman man should have this in their collection.The company who shipped this too me as excellent as well. Only reason I don't give this a 5 star, is because I know their are better fragrances out there. But for a safe, reliable scent..This stuff rocks. My only regret is discovering this late in life . But better late than never. 3 sprays on the neck (sides & nape), 1 spray on each wrist and BAM! Fresh-out-of-the-shower scent for the next 6-8 hours that won't overpower people's noses. Gave the scent 4 stars since you simply can't compare it to higher end fresh/masculine fragrances like Profondo or Sauvage for example. But it's a very solid scent, lasts all day, and for 20 bucks it's not hard to see why it's the top seller on Amazon. Check this one out, fellas! I've never written an Amazon review before. That's how floored I am by this fragrance. Everything about it is just wonderful and pleasant.The second I took the cap off I couldn't help but smile. That is how pleasant the scent it. I sprayed one spritz into the cap and aired it out which only further cemented my first impressions. I've only worn it out once so far, but boy could I not stop smiling and feeling confident all day for the life of me.The bottle is lovely and high quality (in my opinion) for how cheap it all is. Presentation pairs perfectly for the scent which is even lovelier. I would absolutely 110% recommend this fragrance.Scents are interesting because everyone has a different perspective of them. Some people like the smell of fresh cut grass, others hate it. Where one person smells a plain cup of coffee, another smells that scent and pictures home where their dad would have the same cup of coffee every morning.So that being said, I would have to describe this fragrance as the after shower glow smell. I don't mean immediately coming out of the shower. And I definitely don't mean that this scent smells like any generic shower gel. This fragrance is the definition of fresh and clean. It smells like how you smell and feel 10-20 minutes after stepping out of the shower. Crisp, refreshed, clean, confident. It does this while also smelling like a man taking a leisurely stroll down the docks, observing all the yachts that are tied up.Stop reading reviews and buy this fragrance, you will not be disappointed. And if on the off chance you are, it was only $20 and I can guarantee you can find somebody in your life that would love to have this fragrance gifted to them, or would happily buy it from you for the same price you paid for it. I am not big into cologne, however, it us more of an ""etiquette"" to have cologne on in formal and semi formal situations. It would be an over kill to spend $60 or more on a cologne, at the same time, inexpensive cologne tend to smell ""cheap"" by having strong chemical and even alcohol scent.With my last cologne running out, I reluctantly search for an inexpensive yet ""ok"" cologne, that's when this specific one shows up on many reviews sites along with its 90,000+ reviews. The price tag of less than $35 for a bottle of nearly 7 Oz is a STEAL. I did not expect much, and was even ready to use the Amazon ""free return"" if needed to.Upon open the bottle, my first thought was ""oh, the bottle is at least glass!"". The scent though is actually nice! The scent smell ""young"" not like the cologne your grandpa would be using. It is also rather light, so you will not make people sitting next to you in subway pass out. You can increase ""strength"" of the scent depending on how much more you use. I tend to spray about 3 to 4 under my shirt, then I would be smell nicely the rest of the day. I did spray 5 to 6 times one day and the whole office smelled like me the rest of the day.Overall I recommand this cologne for those who needs one yet does not want to sell a kidney for a decent one. At the same time, you wouldn't be making others who share an enclosed space with you to suffocate."
1,B001FWXISS,"I tried to order a another bottle and they said that they were out of stock. It smells pretty good, but doesn’t seem to last like the product I purchased locally. Even if I splash it on it doesn’t really seem to work that well. The CK product my wife bought is very long lasting and only requires a single spray. I can’t conscientiously recommend this product. I have my doubts that it’s legit. I usually only like subtle type colognes as I really do not like the overpowering of any smell wether its pleasant or not. Though this is more potent then what I'm used too (Like Burberry Brit), I found that after a about a half hour it is much less overbearing without completely fading out (lasted all day into to the early night). Though I would have to say that I feel this is definately more of an evening scent (or special occasions), I do not mind putting it on in the mourning for the day every once in while. I always get compliments wearing this one and what I like most is that no one I know seems to have or even know about it. I also got it half off on Amazon (though the third party seller was Fragerancenet.com; a reputable online dealer). I have no doubt that it is legit due to third party seller and the fact that it lasts as long as the original one I purchased directly from Macys a year ago.I would most definately recommend this cologne to anyone looking to smell great but not to overwhelming. People that are saying this is fake; probably didn't buy it directly from Amazon and bought it from a third party marketplace.  I originally tried this out at Macy's and loved the way it smelled.  However, I was not willing to pay $80+ for it.  I came home and did an Amazon search for it and found it way cheaper by $40+ (That was 5 years ago though) through Amazon.com LLC.  Yes, I've had this bottle for 5 years already and the cologne is just as good as it was the first day I bought it.  I've seen a lot of guys apply cologne on their clothes but it's supposed to go on your body.  I usually apply two squirts on each wrist and then rub some around my neck every morning before heading into the office.  You will probably want to apply some more if you plan on going out in the evening though. This is not about the product, but the delivery.Package delivered with a dent on the cap, as seen on the picture.  Luckily the bottle was not broken, so I will use it as it is.  Amazon must pay attention to having packages not tossed around. I have had quite a few colognes over the decades.  From time to time my favorite one shifts (and companies also stop making certain brands and come out with new ones).  At the present time I have about 14 varieties, and this one is clearly my favorite.  And yes there is a difference between Klein's Euphoria and Intense Euphoria.  The ""intense"" variety smells spicier, obviously stronger, and if I ignore throwing out fancy terms I don't quite understand, I think for a men's fragrance, it has an extremely erotic odor, which will last all day.  Of course not all women (or men) like the exact same fragrance (and there are always a few who claim they can't stand any cologne at all).  But if you want to maximize your chance of smelling good for some particular female in your life, or just for everyone around you, if you haven't experienced this you should definitely give it a try. The only fragrance you’ll ever need. Great fast shipping,good price and an amazing scent no problems with the package"
2,B000C1ZDTU,"I usually wear sweet perfumes and this one is not very sweet but with the notes and the were they work together it quickly became my number one choice. I wear it every day. I am very happy with the product and the packaging. I will be ordering another from them before I run out. Smells great! Not has long lasting has it should be. I blind bought this and it wasn't for me.  BUT, if you like Estee Lauders Pleasures, that is what this reminds me of. Very floral.  Fragrance seems to stay the same as the first spray with no changes during dry down.  I overlooked the reviews that said this smells like an old lady - I have to agree with that, at least it does on my skin.**UPDATE** I didn't give this a chance further then the initial spray.  This does start out strong with lilac (to me & ""old lady perfume"" lol, but it really does settle into a beautiful fresh scent.  I keep getting whiffs of a fresh scent throughout the day when wearing.  For me, it settles into a nice just showered, washed my hair, smelling all good, scent. I have purchased SJP Lovely in the past, and the scent hasn't changed. The box came sealed in the factory cellophane wrap, and the box was placed in another clear bag from the seller as well. Well done. Es fresco limpio sutil elegante Lovely has been a favorite of mine for years. The scent is clean, long lasting and distinct. Very satisfied with this purchase. Has a soft fragrance that is not overpowering just pleasant and stays on all day Purchased based on ingredients - never smelled it. At first, I didn't like it (sprayed in air) but after wearing it, I absolutely adore this fragrance.  I DO smell LOVELY!  Definitely recommend."
3,B000GIOBY2,"Good price thanks Although it smells great it is very weak and last about as long as a cheap body spray. La mejor fragancia para el uso diario MY PARTNER USES THIS AND I LOVE THE SCENT, BUT THAT IS SUCH A PEROSNAL PREFERENCE. I DO LIKE THE PRICE FOR IT THOUGH, AND IT TYPICALLY WILL LAST THEM 3-4 MONTHS. It's a clean smell Smells like that smelly smell that smell that smells smelly Thos is my most favorite of all the Guess line of cologne. It's refreshing scent and long lasting aroma make ity go to every day. A little duration"
4,B000P20RAQ,"Calidad, precio I got this one year for a Christmas gift from my son and his girlfriend and I've been buying it ever since. I Love the smell Mi hija súper feliz. Such a wonderful smell. This has always been my favorite thing to buy as perfume for myself. You can never go wrong with this lovely scent. This was my favorite perfume when I was younger & some of the reviews had me wondering whether this was the real deal or not, but it smells exactly the same as back then! I got it for a friend, she loved it. Semms legit, she has been using the fragrance for a while and says it smells the same than the other she has bought in stores. Makes me want to take a bite out of my wife smells like berry's and flowers.."
5,B000C1UD4K,"Smells great! Son ordered it. Priced right. Smells awesome, more fruity if you like that. 👌👍👍👍 My husband will not get anything but happy Clinique. Any free coupons for this cosmetic order? I saw this first at Macy’s and smelled it and loved it and then I saw the price there and knew I could do better here at Amazon, and I was correct. Macy’s wanted twice the price I paid here. Good deal and I get tons of compliments!  I am a woman and it does not smell “manly” on me at all, I love it! Bought this for my husband, he prefers lighter scents. This smells fantastic, it has a light citrus smell that's clean and not to heavy. Great scent; clean smelling Problem problem with this product is it smells great, but only for about an hour. Love the smell very intense long lasting and travel size"
6,B000C219QA,"I get compliments and it lasts several hours without being overbearing.It is a welcome change to my usual scent rotation. I get a lot of compliments when I wear this cologne. Smells great. Great smell great prouduct Purchased this for my teenage son for Christmas.  A fresh, long lasting, clean, slightly citrus scent is perfect for guys of all ages!  POLO never disappoints. I have purchased from the polo store and it was like stale ..Hope that make sense.. Purchased as a gift. I personally love the smell and it lasts long. It also was a great price for the size. Been using this cologne for years. The scent last all through the day. If it's in your clothes, your wife will still smell it when she goes to wash them My husband loved it!"
7,B000C234DQ,"Es una vulgar imitación de mala calidad, la primera vez que la compre me llego bien, esta segunda vez ni se parece el color de la botella, la textura es diferente, la fragancia es diferente y no dura nada. This Scent Is BoldThere's No Way You Can Walk Past A Female and Her Not Take Notice To Your Scent. Recomendado I like One of my favorite suttle smelling colognes. It's good to have it in your rotation. Okay. So I've read some reviews of people worried this may be the bootleg version of the colone which had me nervous, but I ordered it anyway hoping they were wrong and it IS THE REAL BRAND. So hope that helps some of you. I have been wearing Paris Hilton (for men) for years and know the product very well and its scent and would know the diffrence.Anyway, this cologne is superior to my Hollister so cal, and rue 21 red and half the price. Paris Hilton has been my all time favorite for a long time, and I got tired of paying $40-$50 for the others. The scent is very strong, so you don't have to spray as much making the bottle last longer. Also, the scent stays on you all day and does not fade. It smells like a more expensive cologne, and women absoloutely love it. After experimenting with other colognes, I cant beleive I ever stopped buying this stuff and forgot about it. After I opened it and sprayed some on my arm the scent brought back memories, which is why I say I would know if it was fake. If your on the fence, just buy it. You will not regret it, and it is better than the more expensive colognes at the mall. Im still surprised its less than $25. It's perfect I was always fond of this cologne when I was younger and even as an adult. The scent was better than i remembered. It’s a perfect light Clean scent but aso lasts about 6-7 hours of wear. For the price you can’t beat it. I tend to be a little more liberal with the sprays, 5-7 to be exact and it’s never over powering. Big compliment getter."
8,B000C1UAY8,"My all time favorite parfume. So hard to find. Shower gell and lotion great string scent. Parfume smells great but seemed a bit watered down. Maybe from age? Still love it and would order again from seller! this perfume is a good present giver, the smell is amazing. I Got complimented the first time I use it. I'm happy with it I bought this for my mother, and was glad to find a fair price. The packaging was nice and secure, too. Arrived in my mailbox so I assume it was usps not Amazon delivering. Product was safe and no issues. Great scent! Wish it came in a cologne though. I LOVE this perfume.  I've been wearing it for years and recall when I paid at least $100 for it at the mall.... nice, dubtle floral scent. I've gotten many compliments on it over the years... this is the least I've ever paid for it.. try it, you'll like it too ! I do not use a lot of cosmetics or fragrances, but if I need something to lift my spirit ….I use this product.To me it is a clean but I little spicy scent. I have had compliments.  N.l.H. This is a floral without being too spicy or fruity;My bf really loves it on me.The price is excellent compared with a couple decades ago when it was introduced."
9,B000VOP7YO,"This smells really pretty but does not last that long. Narciso fragrances are known for their musky accords, and this is no exception. It is beautifully done! You will feel feminine, pretty and elegant wearing it. Love the fragrance, but I can’t smell it on me soon after I spray it.  Very subtle. Aceptable Very subtle scent. Makes you feel beautiful. Huele delicioso 💅🏼💕 I just love it So at first i was kinda iffy, I felt like a flirtatious grandma.. but after it sits for like a minute…this scent is so good!! I can see why some people like it and some don't. Its a very floral scent thats hard to describe but makes you smell wonderful. It's a scent i really like but again, the bottle top was broken.  Did not return item but would appreciate receiving a new bottle top.  Thank you."
10,B000C1VX3A,"This perfume doesn't sell in the regular department stores, but I am glad they are still selling it in other channels. Love this scent...my family knows me by this fresh flowery scent. Scent can be a little stronger Smells so nice as always.. Reminds me of my younger days. Smells just like it did then and stays all day, I love it! I've been using this since high school. It's hard to find in stores now, so I order from Amazon! I get many compliments on the way it smells on me. Walgreens sells it for $38 a bottle. Much better value through Amazon Have been using wings for a long time. Great price at Amazon, fast delivery. Love the fragrance, ordered 2 will definitely but more. Thank you Reminds me of when I was in high-school again, smells calming"
11,B000V1ZGR0,"I love the smellMy husband loves it Price This was a gift to a friend with Ms who likes only this cologne. Exactly what i wanted Smells nice for the price. Bought something from perfume.com, was awful. I had previously bought this one from an Avon store so, husband asked for it again. I order all the time this became my signature scent a while back very smooth and masculine One of my husbands favorite cologne and was readily available and delivered in a few days time good smell lasts through the day"
12,B0009OAHVO,"Muy bueno y excelente, lo recomiendo es lo que pedí Excelente Clean / Bright scent Me agradó mucho y también me gustó. NY husband was wearing this when we first met and it was totally different than any other cologne I've smelled so I truly love it. This is the biggest bottle of cologne ever. Like hilariously large. The best scent, longevity and value for the money. No me gustó"
13,B000VOPI4S,"The real smell my husband love this scent😍 Liked it For the price, it has a pleasant smell and actually got a few compliments from some female clients. They were surprised when I told them the price!It's a keeper in my collection of cologne's. WHEN A FEMALE WOULD WEAR THIS SCENT...MEN AROUND HER WOULD COMPLIMENT HER ABOUT IT...THE SCENT IS FRESH & INVITING My daughter's husband loves it initially when I bought it the scent lasted for a couple hours ... meh okay i mean its like 10 bucks so its as expected. but then, a month later i noticed it bearly lasts half an hour. And I was like, this is unacceptable. Do not buy, it clearly degrades over time and is a total waste of money. This is the cologne my daddy used on a day to day basis.  It has a soft masculine scent. It smells nice. I purchase this every 3 months via subscription just to make sure I never run out. My dad passed away 2 yrs ago, that is why. I definitely see what people mean by ""old school"". It definitely smells like something I smelled growing up. Very masculine, not bad at all. I sprayed a few sprits on myself and it definitely reminds me of the original old spice/halstone type vibe. It's quite strong at first, but I think it will get milder and probably more aged and smell even more masculine as the hours fade. Will update after a few days."
14,B000VOLKWW,"This fragrance smells amazing and is a great scent for winter it also is very bold and strong and lasts throughout the entire day until night time. This is such a good deal for the price when compared to other colognes around the same price that don't last nearly as long or have a more signature scent. This smells amazing! Got it as a Valentines Day gift for my man and he absolutely loves it too. Also seems like it will last a while. Definitely a great gift, it also comes quickly if it's a bit last minute! It has a good scent, though not as ""woodsy"" as I expected. And I wish the scent lasted longer, but for the price, that's not really disappointing. It is ""de toilette,"" so that confirms it--not so potent.I bought this while searching for a signature scent, but this isn't quite it. I keep it in my travel bag. I'll use it in the warmer seasons if I don't obtain better before then. Very nice scent, excellent price, very pleased Smells hot. My Mrs loves it. Great product Exactly as stated.  Highly recommend. Scent is amazing!  Subtle and perfect.  Doesn’t last long…I would give this a three star if it weren’t for the amazing smell."
15,B000VOLCPC,"Hard to find in stores near me, love the smell and lasts long time I bought this perfume without having smelled it, but I had read reviews describing the scent, so I thought I would like it. Now that I have gotten it, yes its OK, but not what I hoped for. First of all, the box and lid had a strong plastic/chemical smell. I threw out the box, and after a couple days the odor seems to largly have left the lid. The bottle, by the way, is very attractive. Now for the scent: its not that it smells bad, but rather that it seems sort of synthetic/chemical, and also vanishes rather quickly I thought. That said when I asked family, they said it smelled OK. Also, I have only smelled it on myself--maybe I'd like it on someone else. In short--if it works for you, great, but next time I'd buy ""Fresh Vibes"" or ""Moves"" both by Adidas. The package arrived well protected and quickly. It contained the box and the perfume inside. One of the better fragrances I've tried.  It doesn't have the cloying scent so may have.  It smells nice and has staying power. (Unlike some that come on strong and fade quickly).  It lasts a long time and doesn't turn 'sour'.  I've ordered this a few times and will order again soon.  If you have passed up colognes/perfumes because of the scent that buries you, I recommend you try this one.  It didn't affect my allergies either. :) Pros: It smells good, kind of a floral base mix with fruits and air freshener. So it smells 'clean'.Cons: It lasts 2 maybe 3 hours at best for me. So, I would have to keep it in my purse and keep spraying every few hours to even smell any scent when I press my nose against where I last sprayed the perfume on my clothes. So, you WILL go through the bottle fairly quickly. It might as well be a .5 ounce of regular long lasting perfume. But the 1.7 ounce is diluted and therefore it is not strong.Because of the price, I say go buy a long lasting perfume, or if you are okay with carrying the bottle around and okay with spraying yourself every now and then, go for it!Best- Love I found this eau de toliet spray while working as a retail manager of large discount store. It is a very light,unique smell. It does not come on strong or overpower ones ability to breathe. I highly recommend thiseau de toliet spray. Very refreshing. I have had many people ask me what I am wearing and complimentme. My grandchildren say ""that is your smell, Nonna"". Do not be turned off by the last sentence. This eaude toliet spray is not age specific. My granddaughters sneak and use it as frequently as possible! I absolutely love the Adidas Moves, so I decided to try this product and it is now my new favorite.  It is such a clean smell which I am finding that Adidas products are. I highly recommend this product!!  I am fairly picky about the fragrances I wear because I easily get headaches from many scents but Adidas has never been one of them.  Try it, you will like it and if you don't you can contact me and sell me what you don't like!!!  LOL!!! :) This fragrance is called ""Floral Dream"" for a reason --- It literally smells like you're walking through a garden! It smells very nice, however, it is just not the right smell for me. My sister is a floral fanatic so I decided to give this to her and she LOVES it. Would recommend for any other lovers of flowery perfume!"
16,B000JLCW56,"I have used this product for years.  I am always surprised and pleased when I hear unsolicited comments about how nice I smell from service providers (docs, nurses, hair stylist ect.  It must mean that this is a pleasing product. really nice smells Just enjoy the scent.....outdoors this one is very high quality. very luxurious! performance is very good, 6-8 hours longevity with 1-2 foot projection for about 5 hours, then sits close to the skin. the value proposition on this one is VERY GOOD. you definitely get your monies worth. unfortunately, i don’t like the scent profile. it’s a dirty, earthy orange scent. of course, i knew that before i bought it, but the scent is too off-putting to me. but if you like hyper masculine scents like that, jump on this one it’s really good. i would classify this scent as marketed to older, more established gentlemen. My son is really happy to have it! It's a powerful perfume any day. Purchased Feb '21 with a coupon making the price quite attractive. I intended to hold the unopened package while I worked through some other colognes. Plans changed after I entered the date code (20872) on before storing the bottle. It proved to be manufactured in 2012. I tried to process a refund, which it seems it not allowed for this type of product. Given a choice between opening it and reselling in the open market, I rolled the dice and popped the cellophane.The fragrance is very clearly genuine and is still fine. All the orange peel, vetiver and Iso E Super cedar notes sit properly in their places. The fragrance is sophisticated, masculine, seeming fairly mature and the woodier notes last on the skin for the whole day. If you know what you're buying when you order, Terre d'Hermes is fantastic. If you haven't smelled it before, it might be worth trying to sample before purchasing.So in the end everything turned out OK, but potential buyers should be aware that (at least in this case), Amazon has shipped unusually old product without any disclaimer in the product information. "
17,B000P20R6A,"So to start, the reviews about the leaks/bottle damage are true. however it is not something that should cause you to avoid this item. The sprayer top is made of plastic and i think that it leaks when it heats up and is turned upside down. The bottle damage was only cosmetic, there is black paint on the bottle which soaked up the liquid and then began to peel off. just take a wet paper towel and rub the paint off that is wet. it will only peel the damaged part. other than that it is a great product. To give you an idea of how much i lost due to the leak i would say a little less than a fifth of the bottle leaked... not that much at all you probably will get tired of the smell before you run out of spray.The smell.... it is very masculine. HOWEVER it is almost identical to Ur by Usher. it like they just changed the bottle so don't get both because it will be a waste of money. the only up side to Ur is the bottle is kinda cool... but back to the smell, i dont think you could go wrong with it. i can not speak to the longevity of the scent, it smells pretty strong from the bottle so i would wager that it will be on you for the better part of the day how ever it is something that you could get use to and YOU may no longer smell it but others will be able to.Over all i think it would be a 5 star product but because of the leaking part i gave it four. i would give this as a gift to a friend... hope it helps. Two words: spicy lavender. But a ""manly"" spicy lavender (whatever that means). Also, don't be thrown off by the sticker price. Yes, it's super cheap, but it's some good cheap stuff (that doesn't actually smell cheap). This is like a poor man's Swiss Army Classic or Davidoff Cool Water. But slightly more soapy & powdery-smelling. Wear this for when it's hot outside. No base notes or middle notes or  anything like that though. What you smell after the first spray is what you're going to get for the rest of the day. Whether that's a good or bad thing is up to you. The scent lasts, maybe, on a good day, 4-6 hours. Take this to the gym. Or the yacht. Whatever. Swiss Guard is sweet and spicy, with strong notes of lavender.  Do not let the lavender notes throw you off, though, it is still a masculine scent that is not overly sweet.  It is a fantastic summer scent!  The best part is that it lasts an extremely long time, it would be a good clubbing scent.  The only downside is that the scent does not develop: it smells virtually the same from the initial spray until it wears off.  I enjoy it a lot and it is a good value for the price Amazon has it for! I actually love this fragrance. its manly like smell comes on as well and it last all day long. I tried this cologne the first day I got it, and I was surprised how long the fragrance lasted . after a shower at the end of a 10 hour day I could still smell a light hint of it. this is good stuff it works well as an everyday fragrance if you feel you like something with a little more volume to it..get this it's turned up a bit. ;)) Recomendable The only ""downside"" is that it is mildly potent (which can be a good thing for many). I started using it for work without telling anyone. A woman noticed when she was very close to me while taking a picture. At another time, when I went past a coworker she noticed it and in both occasions they said it smelled really good. Potency varies with different people but what it doesn't changes is that it is a great scent. Its a nice cologne. Smell sweet but not overpowering. It's not to old and not to young. Masculine. The bottle its a problem. While the cologne is in the box for shipping the hot temperature makes the bottle loose it the cover of the bottle and cause a mess is the box and the cologne too. Fix it its just the bottle. The cologne is fantastic. I love. I have been many colognes. Loved this perfume. It was recommended by a friend of mine and I absolutely thrilled by the fragrance. It is nice, soothing and more importantly it stays for atleast 6-7 hours; good enough for work/school. I would recommend this people who would like to try a good perfume on a budget!!"
